Snake,Reference,Note,"SVMP (Snake Venom Metalloproteinase), mg","PI-SVMP (Snake Venom Metalloproteinase-PI), mg","PII-SVMP (Snake Venom Metalloproteinase PII), mg","PIII-SVMP (Snake Venom Metalloproteinase PIII), mg","SVMPi (Snake Venom Metalloproteinase inhibitor), mg","Disintegrin, mg","Short disintegrin, mg","Medium disintegrin, mg","Large disintegrin, mg","Long disintegrin, mg","Dimeric disintegrin, mg","CTL (C-type Lectin), mg","DC-fragment (Disintegrin-like/Cysteine-Ichdomains of PIII-SVMP), mg","CRISP (Cysteine-Rich Secretory Protein), mg","3Ftx (Three-Finger Toxin), mg","alpha-NTx (alpha-NeuroToxin), mg","NTx (NeuroToxin), mg","SNTx (Short chain Neurotoxin), mg","LNTx (Long chain Neurotoxin), mg","WNTx (Weak Neurotoxin), mg","PLB (Phospholipase B), mg","PLA2 (Phospholipase A2), mg","Acidic PLA2 (Phospholipase A2), mg","Basic PLA2 (Phospholipase A2), mg","K49-PLA2 (Phospholipase A2), mg","D49-PLA2 (Phospholipase A2), mg","Crotoxin, mg","SP (Serine-Proteinase), mg","SPi (Serine-Proteinase inhibitor), mg","KuTi (Kunitz-type Inhibitor), mg","KaTi (Kazal-type Inhibitor), mg","KLK (Kallikrein), mg","LAAO (L-Amino Acid Oxidase), mg","VAP (Vasoactive Peptides), mg","BPP (Bradykinin-Potentiating Peptides), mg","BIP (Bradykinin-Inhibitory Peptides), mg","VEGF (Vascular Endothelial Growth Factor), mg","CVF (Cobra Venom Factor), mg","NP (Natriuretic Peptide), mg","Muscarinic-toxin, mg","Cytotoxin, mg","Myotoxin, mg","Mojave toxin, mg","Sarafotoxin, mg","Trimucrotoxin, mg","Waprin, mg","Navaprin, mg","Ohanin, mg","Oscutarin C, mg","Cystatin, mg","Crotamine, mg","Vespryn, mg","HYA (Hyaluronidase), mg","KTC (prokineticin), mg","NGF (Nerve Growth Factor), mg","ILGF-1 (Insulin-like Growth Factor), mg","PDE (Phosphodiesterases), mg","ACHE (Acetylcholineesterase), mg","NT5 (5NucleoTidase), mg","EP (Endopeptidase), mg","EN (Endonuclease), mg","Trypsinogen, mg","QC (Glutaminyl Cyclase), mg","CCM (Complement Control Module), mg","LIPA (Lysosomal Lipase A), mg","TRF (Transferrin), mg","CTT (Cytidyltransferase), mg","ALB (Albumin), mg","HBG (Hemoglobin), mg","pG peptides (Poly-Gly Peptides), mg","pGpH peptides (Gly-His-rich Peptides), mg","beta-BTx (beta-bungarotoxin), mg","Gal (galactose-binding lectin), mg","Selectins, mg","FMO (flavin monoamine oxidases), mg","GP (glutathione peroxidase), mg","CELF (Type-B carboxylesterases/lipases), mg","Atragin, mg","AMT (AminoTransferase), mg","Aspartic protease, mg","TBP (Toxin biosynthesis proteins), mg","BP (Blood Proteins), mg","KNL (Kinesin-like protein), mg","NTP (Neurotrophin), mg","Fibrinogenases, mg","AP (AminoPeptidase), mg","ChE (Cholinesterase), mg","OLP (Ohanin like proteins), mg","CRVP (Cysteine Rich Venom Proteine), mg","NMG (Neuronal membrane glycoprotein), mg","RIB (ribosomal protein), mg","ECTONT (ecto-59-nucleotidase), mg","Actin, mg","Unknown peptides, mg","Non-toxin, mg","Unknown/Undetermined, mg","Sum, mg"
Agkistrodon bilineatus bilineatus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Mexico,168.56,0.00,0.00,0.00,0.00,21.33,0.00,0.00,0.00,0.00,0.00,6.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,288.96,0.00,0.00,0.00,0.00,0.00,113.52,0.00,0.00,0.00,0.00,33.71,0.00,31.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.44,0.00,0.00,0.00,0.00,0.00,0.00,3.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.20,688.00
Agkistrodon bilineatus howardgloydi,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Costa Rica,211.90,0.00,0.00,0.00,0.00,15.14,0.00,0.00,0.00,0.00,0.00,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,280.70,0.00,0.00,0.00,0.00,0.00,116.27,0.00,0.00,0.00,0.00,17.89,0.00,37.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.13,688.00
Agkistrodon bilineatus taylori,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Mexico,210.53,0.00,0.00,0.00,0.00,18.58,0.00,0.00,0.00,0.00,0.00,9.63,0.00,38.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.98,0.00,0.00,0.00,0.00,0.00,52.29,0.00,0.00,0.00,0.00,33.02,0.00,59.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.70,688.00
Agkistrodon contortrix contortrix,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Origin unknown,24.38,0.00,0.00,0.00,0.00,1.13,0.00,0.00,0.00,0.00,0.00,1.80,0.08,2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.63,0.00,0.00,0.00,0.00,0.00,10.73,0.00,0.00,0.00,0.00,3.30,0.00,4.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.03,75.08
Agkistrodon contortrix contortrix,https://www.ncbi.nlm.nih.gov/pubmed/27983581,USA,18.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,1.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.03,27.05,0.00,0.00,0.00,11.04,0.00,0.00,0.00,0.00,2.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,75.01
Agkistrodon contortrix laticinctus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Texas,22.95,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,29.40,0.00,0.00,0.00,0.00,0.00,10.58,0.00,0.00,0.00,0.00,3.68,0.00,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,75.00
Agkistrodon contortrix mokasen,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Kentucky,22.35,0.00,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.30,0.00,1.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.90,0.00,0.00,0.00,0.00,0.00,7.20,0.00,0.00,0.00,0.00,4.58,0.00,4.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,75.00
Agkistrodon contortrix phaeogaster,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Missouri,16.05,0.00,0.00,0.00,0.00,1.65,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.15,0.00,0.00,0.00,0.00,0.00,16.88,0.00,0.00,0.00,0.00,4.05,0.00,4.05,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.98,75.00
Agkistrodon contortrix pictigaster,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Texas,22.65,0.00,0.00,0.00,0.00,0.60,0.00,0.00,0.00,0.00,0.00,1.88,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.65,0.00,0.00,0.00,0.00,0.00,6.68,0.00,0.00,0.00,0.00,6.60,0.00,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,75.00
Agkistrodon piscivorus conanti,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Florida,35.70,0.00,0.00,0.00,0.00,3.74,0.00,0.00,0.00,0.00,0.00,2.21,0.00,5.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,78.20,0.00,0.00,0.00,0.00,0.00,23.63,0.00,0.00,0.00,0.00,7.65,0.00,9.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.08,170.00
Agkistrodon piscivorus leucostoma,https://www.ncbi.nlm.nih.gov/pubmed/24211403,Texas,44.37,0.00,0.00,0.00,0.00,8.33,0.00,0.00,0.00,0.00,0.00,1.36,0.00,3.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.44,0.00,0.00,0.00,0.00,0.00,17.17,0.00,0.00,0.00,0.00,4.59,0.00,10.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.31,170.00
Agkistrodon piscivorus piscivorus,https://www.ncbi.nlm.nih.gov/pubmed/24211403,USA,56.27,0.00,0.00,0.00,0.00,6.12,0.00,0.00,0.00,0.00,0.00,5.44,0.00,5.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.12,0.00,0.00,0.00,0.00,0.00,22.44,0.00,0.00,0.00,0.00,1.36,0.00,9.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.44,170.00
Aipysurus laevis,https://www.ncbi.nlm.nih.gov/pubmed/26169672,Australia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,8.35,0.00,0.00,0.00,0.00,0.00,0.00,23.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,33.00
Atropoides nummifer mexicanus,https://www.ncbi.nlm.nih.gov/pubmed/18161938,Costa Rica,0.00,8.88,0.00,2.04,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.78,0.06,1.14,0.06,0.00,0.00,0.00,0.00,0.00,0.00,21.90,0.00,0.00,0.00,0.00,0.00,13.20,0.00,0.00,0.00,0.00,5.46,0.00,5.16,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.24
Atropoides picadoi,https://www.ncbi.nlm.nih.gov/pubmed/18161938,Costa Rica,0.00,6.79,0.00,39.69,0.00,0.00,0.00,0.07,0.00,0.00,0.00,1.26,0.07,3.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.65,0.00,0.00,0.00,0.00,0.00,9.45,0.00,0.00,0.00,0.00,1.54,0.00,1.26,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.21
Bitis arietans,https://www.ncbi.nlm.nih.gov/pubmed/16786436,Ghana,288.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.50,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.25,0.00,0.00,0.00,0.00,0.00,146.25,0.00,31.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.75,0.00,0.00,750.75
Bitis caudalis,https://www.ncbi.nlm.nih.gov/pubmed/17559253,Origin unknown,9.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.96,4.17,0.00,1.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.83,0.00,0.00,0.00,0.00,0.00,12.84,0.00,2.72,0.00,0.00,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.00,85.00
Bitis gabonica,https://www.ncbi.nlm.nih.gov/pubmed/17203976,Origin unknown,549.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,81.60,343.20,12.00,48.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,273.60,0.00,0.00,0.00,0.00,0.00,633.60,0.00,72.00,0.00,0.00,31.20,0.00,67.20,0.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.80,0.00,0.00,"2,400.00"
Bitis nasicornis,https://www.ncbi.nlm.nih.gov/pubmed/17559253,Origin unknown,144.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.36,14.83,0.35,4.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.95,0.00,0.00,0.00,0.00,0.00,77.31,0.00,0.00,0.00,0.00,11.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.47,0.00,0.00,353.35
Bitis rhinoceros,https://www.ncbi.nlm.nih.gov/pubmed/17559253,Origin unknown,261.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.08,119.57,5.09,10.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.70,0.00,0.00,0.00,0.00,0.00,202.67,0.00,63.60,0.00,0.00,18.66,0.00,2.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.78,0.00,0.00,848.00
Bothriechis lateralis,https://www.ncbi.nlm.nih.gov/pubmed/18444672,Costa Rica,11.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.74,0.00,0.00,0.00,0.00,0.00,2.26,0.00,0.00,0.00,0.00,1.22,0.00,2.22,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.04
Bothriechis lateralis,https://www.ncbi.nlm.nih.gov/pubmed/27777178,Costa Rica,0.00,0.46,0.00,3.44,1.30,0.76,0.00,0.00,0.00,0.00,0.00,0.00,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.06,0.00,0.00,0.00,0.00,0.00,4.58,0.00,0.00,0.00,0.00,1.36,0.00,2.18,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,21.12
Bothriechis schlegelii,https://www.ncbi.nlm.nih.gov/pubmed/18444672,Costa Rica,3.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.76,0.00,0.00,0.00,0.00,0.00,1.16,0.00,0.00,1.66,0.00,1.78,0.00,2.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
Bothriechis schlegelii,https://www.ncbi.nlm.nih.gov/pubmed/27777178,Costa Rica,0.00,0.00,0.00,1.62,1.38,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.26,0.00,0.00,0.00,0.00,0.00,0.00,0.16,3.46,0.00,0.00,0.00,0.00,0.00,4.12,0.00,1.26,0.00,0.00,0.68,0.00,3.18,0.00,0.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.15,20.00
Bothrops alternatus,https://www.ncbi.nlm.nih.gov/pubmed/20329766,Brazil,43.10,0.00,0.00,0.00,0.00,2.60,0.00,0.00,0.00,0.00,0.00,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.80,0.00,0.00,0.00,0.00,0.00,24.10,0.00,0.00,0.00,0.00,6.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.80,0.00,0.00,100.00
Bothrops alternatus,https://www.ncbi.nlm.nih.gov/pubmed/24069493,Brazil,0.00,3.60,7.60,41.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.80,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,2.40,2.00,0.00,0.00,0.00,0.00,0.00,5.80,0.00,0.00,0.00,0.00,14.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.40,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.00,0.00,0.00,0.00,100.10
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/18557640,Caribbean neonate,0.00,55.08,116.28,627.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.44,0.00,38.25,0.00,0.00,0.00,0.00,0.00,0.00,36.72,30.60,0.00,0.00,0.00,0.00,0.00,88.74,0.00,0.00,0.00,0.00,227.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.59,0.00,6.12,0.00,22.95,0.00,0.00,0.00,0.00,0.00,13.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.72,0.00,0.00,0.00,0.00,"1,531.53"
Bothrops asper,https://www.ncbi.nlm.nih.gov/pubmed/18557640,Caribbean adult,0.00,492.66,0.00,134.64,0.00,0.00,0.00,32.13,0.00,0.00,0.00,7.65,1.53,1.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,287.64,153.00,0.00,278.46,0.00,0.00,0.00,0.00,140.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,530.00"
